"Timestamp","How much were your study habits affected by the student strikes of 2017?","How much were your study habits affected by Hurricane Maria?","How much were your study habits affected by the frequent power outages between 2018-19?","How much were your study habits affected by the increased frequency of earthquakes since 2019?","How much were your study habits affected by the COVID-19 Pandemic?","How was the amount of academic work you received affected by the student strikes of 2017?","How was the amount of academic work you received affected by Hurricane Maria?","How was the amount of academic work you received affected by the frequent power outages between 2018-19?","How was the amount of academic work you received affected by the increased frequency of earthquakes since 2019?","How was the amount of academic work you received affected by the COVID-19 Pandemic?","How do you feel these or other events affected your academic performance?","What resources or aid relating to academic performance do you feel should have been provided to the students by the university?"
"2020/11/12 1:01:13 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","It has been one disaster after the other and frankly, little or no empathy can be found on the professor’s part. I have struggled constantly both academically and emotionally and still am. ","I think emotional health was basically not taken into account in many of the disasters. I hope that in the future the mental health of students is more prioritized because it is the most important part of academic performance. "
"2020/11/12 1:03:49 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","Minor changes to routine","Minor changes to routine","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Keeping up with my workload has been incredibly difficult since most professors decide to give more work than usual",""
"2020/11/12 1:04:09 PM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Minor changes to routine","Minor changes to routine","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","N/A","N/A"
"2020/11/12 1:05:44 PM AST","Studying felt like a fruitless endeavor, performance was affected significantly","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Unable or difficult to find new routine, performance is affected","Academic work doubled (or more), keeping up performance was very hard","Academic work doubled (or more), keeping up performance was very hard","Academic work doubled (or more), keeping up performance was very hard","","Academic work doubled (or more), keeping up performance is very hard","I feel like after each one of these events my Professors started giving much more work than what most students could handle. I started giving more importance to deadlines than actually learning the material given to me. ","I think students should be provided with areas where they could study and work safely and without interruptions. A lot of students don't have areas where they can concentrate and dedicate themselves to their coursework. "
"2020/11/12 1:06:46 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","Ha afectado mi salud, mental tanto como fisica y no he podido rendir el maximo por la carga de todo.","Ayuda monetaria para compra de materiales y/o equipo electronico.  "
"2020/11/12 1:11:24 PM AST","Minor changes to routine","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","The pandemic has affected my will to study and drive to enjoy academic matters.","Better student-professor relations, a more balanced academic year schedule."
"2020/11/12 1:11:44 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Minor changes to routine","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","No change in amount of academic work","Less academic work than before","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 1:12:56 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Concentrating is harder when you’re living through events that cause extreme levels of stress. The stress from these events along with the added stress pf getting your class work done is horrible","N/A"
"2020/11/12 1:16:47 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Pretty much identical study habits","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","No change in amount of academic work","Academic work increased slightly, performance was affected","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Of the events mentioned, the coronavirus pandemic has brought the most dramatic changes to my routines and my approach to studying. Though I have mostly been able to adapt to synchronous classes (these let me talk to the professor about doubts, discuss the material with other classmates during class, etc), asynchronous classes have been exhausting. It's particularly difficult to learn advanced subjects on my own.",""
"2020/11/12 1:20:56 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","Minor changes to routine","Big changes to routine, did not affect performance","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","COVID 19 brought a lot of stress. This stress was caused by the frequent power outages experienced and how they could occur during a test, power outages during class, causing to miss what was discussed, also there was more academic work to be done for each class like synchronic classes and asynchronous work, which was and is hard to manage.","I feel the quality of education is not being met in online classes. This is especially noticeable in online labs where you are not able to practice important concepts. Substituting this for YouTube videos is not enough for students to fully learn and understand, especially when we are talking about science or engineering classes."
"2020/11/12 1:22:22 PM AST","Studying felt like a fruitless endeavor, performance was affected significantly","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance was very hard","Academic work doubled (or more), keeping up performance is very hard","Academic work doubled (or more), keeping up performance is very hard","Professors","More help and more understanding from the professors and financial due to internet and technological difficulties "
"2020/11/12 1:24:41 PM AST","Minor changes to routine","Pretty much identical study habits","Unable or difficult to find new routine, performance was affected","N/a, wasn’t affected","Unable or difficult to find new routine, performance is affected","No change in amount of academic work","Academic work increased slightly, performance was affected","No change in amount of academic work","N/a, wasn’t affected","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 1:25:58 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Minor changes to routine","N/a, wasn’t affected","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","","Debieron haber implementado una línea directa para que los estudiantes pudieran expresar sus quejas en cuanto a la ineficiencia o mal manejo de los profesores durante estas situaciones. También debieron ofrecer herramientas para arreglar estos problemas, no ignorar las quejas."
"2020/11/12 1:27:49 PM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance was very hard","No change in amount of academic work","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","My academic performance was affected significantly, I've failed in several courses and had to repeat them. Also my economic situation is not good so it adds to the amount of stress these events have caused. ",""
"2020/11/12 1:29:26 PM AST","N/a, wasn’t affected","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","","N/a, wasn’t affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","It made it significantly worse.",""
"2020/11/12 1:31:15 PM AST","Pretty much identical study habits","Minor changes to routine","Minor changes to routine","Minor changes to routine","Big changes to routine, did not affect performance","No change in amount of academic work","Less academic work than before","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","","open natatorium"
"2020/11/12 1:31:42 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","Academic work doubled (or more), keeping up performance is very hard","Theres too much work, at least for me, now in the pandemic situation. I had a 4.00 GPA before the pandemic, but now I’m struggling to hand in all my assignments, even though I routinely don’t sleep at all trying to complete them.","Don’t know."
"2020/11/12 1:34:34 PM AST","N/a, wasn’t affected","Studying felt like a fruitless endeavor, performance was affected significantly","Minor changes to routine","Minor changes to routine","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 1:34:43 PM AST","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","N/a, wasn’t affected","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","N/a, wasn’t affected","Academic work doubled (or more), keeping up performance is very hard","Professors  give too much work.  We are not learning,  we are suffering  anxiety  attacks. ","Moderation un homework "
"2020/11/12 1:35:09 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","Minor changes to routine","Minor changes to routine","Pretty much identical study habits","N/a, wasn’t affected","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","The COVID affect in everything. I have to fill a withdraw",""
"2020/11/12 1:35:21 PM AST","N/a, wasn’t affected","Unable or difficult to find new routine, performance was affected","Minor changes to routine","Minor changes to routine","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","",""
"2020/11/12 1:38:59 PM AST","Minor changes to routine","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Minor changes to routine","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance was affected","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Stressed about all the amount of work and effort I have to put when my usual routine is affected. ","Electricity, internet, and study areas. "
"2020/11/12 1:43:26 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","N/a, wasn’t affected","N/a, wasn’t affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","Most affected my academic performance in a negative way, especially the covid-19 pandemic.",""
"2020/11/12 2:08:41 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","Big changes to routine, did not affect performance","Minor changes to routine","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","N/a, wasn’t affected","Less academic work than before","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 2:14:14 PM AST","N/a, wasn’t affected","Pretty much identical study habits","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","Significantly less or no academic work","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","",""
"2020/11/12 2:16:44 PM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Unable or difficult to find new routine, performance is affected","Academic work doubled (or more), keeping up performance was very hard","Academic work doubled (or more), keeping up performance was very hard","Academic work doubled (or more), keeping up performance was very hard","Academic work doubled (or more), keeping up performance is very hard","Academic work doubled (or more), keeping up performance is very hard","It greatly affects performance because the UPR administration does not give a fuck about the students and demand that professors keep the same level of difficulty in an always-changing situation. Trying to keep up with those demands is near impossible for some. ","Workshops, training on how to handle the stress and situation, better training for professors, keep a closer eye on workload from classes, more attention to student dilemmas. "
"2020/11/12 2:17:13 PM AST","N/a, wasn’t affected","Pretty much identical study habits","Studying felt like a fruitless endeavor, performance was affected significantly","Pretty much identical study habits","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance was very hard","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Going to class during these situations feels completely pointless and studying has been frustrating to say the least.",""
"2020/11/12 2:17:29 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Minor changes to routine","Pretty much identical study habits","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","Less academic work than before","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 2:30:34 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Minor changes to routine","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 2:43:05 PM AST","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 2:49:29 PM AST","N/a, wasn’t affected","N/a, wasn’t affected","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work increased slightly, performance is affected","I feel they affected me deeply.","I think that resources that do not hinder the student should have been provided such as eased work levels or adjusting the difficulty of certain tasks. "
"2020/11/12 2:50:22 PM AST","N/a, wasn’t affected","Studying felt like a fruitless endeavor, performance was affected significantly","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","Academic work increased slightly, performance was affected","No change in amount of academic work","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 2:51:56 PM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Minor changes to routine","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Its so much work, your mind just think ""you have to do this, you need to study"" but my body and mind is also drained. ","Stipulate how much work the professors can assign, put a maximum. "
"2020/11/12 2:55:10 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance is affected","N/a, wasn’t affected","Less academic work than before","Less academic work than before","No change in amount of academic work","Academic work increased slightly, performance is affected","The pandemic has been the harshest of these events. Part of it is my own fault, I admit, studying from home provides a lot of distractions, but it's something I should act to remedy on my own. The learning process I feel has also been impacted due to the lack of in person classes and office hours, but I understand that's not possible to remedy given the circumstances.","I think that the Math Tutoring Center should be advertised more. It's a great resource to have and I'm grateful for it but not many students know about it. However, I think that the university failed its student by transitioning to Outlook during a time where electronic communication is vital, especially when that transition is still isn't complete. Having important emails from teachers, guidance counselors, clubs, research opportunities, etc. being marked as spam is detrimental to the student and the college experience, and for first year students like myself we're left in the dark. It should be such a basic priority since given the circumstances it's our one line of communication. As for other aid that should be provided: extend Pass/Fail modalities for the length of this pandemic. As much as the university can claim it wants to go back to normality, online learning with a worldwide pandemic will never be normality. There should be more safety nets for students during this time. The school should embrace these. Many of my fellow students sometimes join classes while in a car because they either don't have electricity or they have to help their parents with errands and other responsibilities. I myself had to move in order to take care of my grandparents. Thankfully, I have access to an internet connection, and I find the time for my classes, but the university should not move away from Pass/Fail modalities or only provide them in limited amounts. This is a time where family responsibilities, our health, and our safety should be the number one priority. The university should stop using unfounded rhetoric saying that ""This is not a Pass/Fail campus"" when it's also a university where nearly 60% of its student receive Pell Grants and thus have economic difficulties. "
"2020/11/12 3:06:19 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Minor changes to routine","Pretty much identical study habits","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","Significantly less or no academic work","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","Drastic events like COVID-19 completely changed the academic environment since everything moved online.","I can't think of anything provided by the university but the workload that professors have assigned should be less considering circumstances. "
"2020/11/12 3:10:43 PM AST","Pretty much identical study habits","Pretty much identical study habits","Pretty much identical study habits","Pretty much identical study habits","Unable or difficult to find new routine, performance is affected","Less academic work than before","Less academic work than before","Less academic work than before","Less academic work than before","Academic work doubled (or more), keeping up performance is very hard","The only one that has affected my academic performance greatly has been the pandemic because Im always at home.","I believe the university has dona as much as they can to help the students, but they should review the professors that have received bad reviews in the questionnaires"
"2020/11/12 3:18:35 PM AST","Pretty much identical study habits","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 3:29:21 PM AST","Minor changes to routine","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Big changes to routine, did not affect performance","No change in amount of academic work","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 3:41:56 PM AST","Big changes to routine, did not affect performance","Pretty much identical study habits","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Less academic work than before","No change in amount of academic work","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","Very stressed and anxious, my progress was not the same as before","Psychological help, stress hotlines, etc"
"2020/11/12 4:58:11 PM AST","N/a, wasn’t affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Academic work doubled (or more), keeping up performance was very hard","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","--In any other semester I am a straight As or As and B student. During Hurricane María I got C in one class and failed another class with lab. Now during the Covid-19 I’m probably failing 3 out of my 6 classes (4 classes and 2 labs).
--The thing is not only did these events affect me, also most of the professors that I had to take class with during that time were very strict or not understanding at all. I had to dead with my flooded house, no light and scarce food during Hurricane María, the power shortages, the Covid-19 with light and internet shortages plus having to take care of a sick family member. These circumstances were already hard to take my classes, find time to study and hand in all my work; I ended either traveling a lot to find a place to be able to take classes/study or not sleep a lot of the consecutive nights. Professors doubled the work during the hurricane. Professors now during the pandemic have tripled the classes and work. 
--For example: Each of my classes this semester is supposed to be 3 hours weekly. My professors have sent me videos of classes that are 6 to 8 hours long in a week. Several of my classes have done this for most of my semester, plus I must hand in assignments of all my classes every week. So, I’m handing assignments from Monday to Saturday every week since the start of class.
--The worst part about this is that professors aren’t answering e-mails and don’t let you hand in assignments late. Also tried contacting the departments, they only sent a reminder letter to the professors. Then the professors made the assignments and classes even harder.","--As in resources, if the university could open the library and computer center even if it is limited it would help a lot. Maybe have designated open areas where students can go to connect to Wi-Fi and take classes.
--It would also help if there was a way for professors not to exceed the weekly class hours. 
A way for students to be able to contact professors better to ask questions since most professors are giving asynchronous classes and it is really hard to ask them about doubts. 
It would really be helpful if professors sent 1 or no more than 2 assignments per week. Because at some points in the semester I’ve received up to 4 different assignments from the same professor the same week."
"2020/11/12 5:36:21 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance is very hard","Academic work doubled (or more), keeping up performance is very hard","real bad","Do not know"
"2020/11/12 5:42:25 PM AST","Pretty much identical study habits","Big changes to routine, did not affect performance","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","","","","","","These pandemic conditions made me want to seriously drop out because there was just no point in studying when you were not learning at all. ","More leniency by the professors. All asynchronous courses. More technological training for both professors and students. Technological resources for those who didn’t have (and could not buy) the right equipment for online classes. "
"2020/11/12 6:24:36 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Minor changes to routine","Pretty much identical study habits","Big changes to routine, did not affect performance","N/a, wasn’t affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","",""
